data created:, 08-Jan-2019
monthly global mean of baseline data from AGAGE GC-MD data
CREDIT FOR USE: This is a formal notification for data users. 
For scientific purposes access to these data is unlimited and 
provided without charge. By their use you accept that an offer 
of co-authorship will be made through personal contact with the
data providers or owners whenever substantial use is made of 
their data. In all cases an acknowledgement must be made to the
data providers or owners and the data centre when these data are
used within a publication.
CONTACT POINT:  raywang@eas.gatech.edu, rprinn@mit.edu, rfweiss@ucsd.edu
You can use the following format in Fortran to read data in different columns, (F9.3, I4, I6, 8(f11.3,f9.3))
   scale: ---   ---       SIO-05      ---       SIO-05      ---       SIO-05      ---       SIO-05      ---       SIO-05      ---       SIO-16      ---   Tohoku-Uni      ---       SIO-98      ---
    unit: ---   ---          ppt      ---          ppt      ---          ppt      ---          ppt      ---          ppt      ---          ppb      ---          ppb      ---          ppt      ---
 1980.708   9  1980      167.635    4.665      311.158    8.645        0.000    0.000       84.935    7.574       92.491    1.653      301.452    0.265        0.000    0.000        0.000    0.000
 1980.792  10  1980      167.726    4.821      311.000    9.679        0.000    0.000       86.156    8.136       92.428    1.967      301.841    0.690        0.000    0.000        0.000    0.000
 1980.875  11  1980      169.544    4.575      313.304    8.785        0.000    0.000       87.565    8.679       93.091    1.893      301.807    0.270        0.000    0.000        0.000    0.000
 1980.958  12  1980      170.126    4.320      314.415    8.572        0.000    0.000       87.901    8.666       93.400    1.925      301.496    0.175        0.000    0.000        0.000    0.000
 1981.042   1  1981      170.785    4.178      315.323    8.237        0.000    0.000       87.711    8.382       93.659    1.974      301.406    0.187        0.000    0.000        0.000    0.000
 1981.125   2  1981      170.990    4.415      315.801    8.536        0.000    0.000       88.509    8.569       93.533    2.263      301.099    0.192        0.000    0.000        0.000    0.000
 1981.208   3  1981      171.233    3.947      315.771    7.494        0.000    0.000       88.055    7.852       93.792    2.314      301.159    0.168        0.000    0.000        0.000    0.000
 1981.292   4  1981      172.077    4.488      318.004    8.186        0.000    0.000       89.368    8.876       94.120    2.404      301.567    0.324        0.000    0.000        0.000    0.000
 1981.375   5  1981      172.707    4.506      319.049    7.977        0.000    0.000       89.997    9.241       94.091    2.428      301.259    0.327        0.000    0.000        0.000    0.000
 1981.458   6  1981      173.293    4.109      319.789    7.552        0.000    0.000       90.099    8.679       93.919    2.032      301.004    0.353        0.000    0.000        0.000    0.000
 1981.542   7  1981      173.981    4.436      321.177    8.300        0.000    0.000       89.978    8.618       94.041    2.078      300.592    0.485        0.000    0.000        0.000    0.000
 1981.625   8  1981      175.092    4.542      324.095    8.424        0.000    0.000       89.899    8.063       94.032    1.861      301.200    0.442        0.000    0.000        0.000    0.000
 1981.708   9  1981      176.238    4.535      326.139    8.249        0.000    0.000       90.321    7.948       94.037    1.929      301.467    0.448        0.000    0.000        0.000    0.000
 1981.792  10  1981      177.000    4.718      327.391    9.201        0.000    0.000       90.585    8.240       93.881    2.306      301.626    0.554        0.000    0.000        0.000    0.000
 1981.875  11  1981      178.092    4.720      328.851    9.065        0.000    0.000       90.863    8.241       94.173    2.403      301.989    0.465        0.000    0.000        0.000    0.000
 1981.958  12  1981      178.979    4.408      329.761    7.764        0.000    0.000       91.870    8.491       94.030    1.904      302.013    0.317        0.000    0.000        0.000    0.000
 1982.042   1  1982      178.926    4.035      331.180    7.253        0.000    0.000       92.240    8.623       94.069    1.629      302.441    0.303        0.000    0.000        0.000    0.000
 1982.125   2  1982      179.182    4.134      332.114    7.109        0.000    0.000       92.869    8.421       94.314    1.259      302.764    0.263        0.000    0.000        0.000    0.000
 1982.208   3  1982      179.445    4.368      333.049    7.262        0.000    0.000       93.119    9.037       94.258    1.254      302.906    0.308        0.000    0.000        0.000    0.000
 1982.292   4  1982      180.219    4.491      335.348    7.964        0.000    0.000       94.991   10.049       94.647    1.412      303.372    0.569        0.000    0.000        0.000    0.000
 1982.375   5  1982      180.930    4.202      336.247    7.518        0.000    0.000       94.764    9.114       94.921    1.346      303.686    0.618        0.000    0.000        0.000    0.000
 1982.458   6  1982      181.695    4.011      338.541    7.982        0.000    0.000       95.010    8.752       94.996    1.349      304.057    0.748        0.000    0.000        0.000    0.000
 1982.542   7  1982      182.257    4.180      339.486    8.168        0.000    0.000       95.298    8.855       95.089    1.492      303.925    0.588        0.000    0.000        0.000    0.000
 1982.625   8  1982      183.222    4.266      341.136    7.948        0.000    0.000       94.706    7.776       95.229    1.536      303.549    0.203        0.000    0.000        0.000    0.000
 1982.708   9  1982      183.748    4.279      342.401    8.303        0.000    0.000       94.165    7.340       95.086    1.572      303.495    0.249        0.000    0.000        0.000    0.000
 1982.792  10  1982      184.766    4.626      343.974    8.553        0.000    0.000       94.981    7.928       95.368    1.675      303.680    0.308        0.000    0.000        0.000    0.000
 1982.875  11  1982      185.643    4.846      345.950    8.387        0.000    0.000       95.601    8.465       95.139    1.899      303.785    0.326        0.000    0.000        0.000    0.000
 1982.958  12  1982      186.093    4.839      348.024    9.038        0.000    0.000       96.756    9.663       95.556    2.189      303.671    0.258        0.000    0.000        0.000    0.000
 1983.042   1  1983      186.457    4.484      348.256    8.045        0.000    0.000       96.130    9.041       95.640    2.025      303.693    0.217        0.000    0.000        0.000    0.000
 1983.125   2  1983      187.008    4.277      349.042    7.930        0.000    0.000       96.060    9.072       95.919    2.007      303.736    0.352        0.000    0.000        0.000    0.000
 1983.208   3  1983      187.975    4.135      350.259    7.518        0.000    0.000       96.788    8.666       96.315    1.786      303.671    0.428        0.000    0.000        0.000    0.000
 1983.292   4  1983      189.051    4.630      351.188    7.751        0.000    0.000       98.339    9.743       95.875    1.508      303.633    0.392        0.000    0.000        0.000    0.000
 1983.375   5  1983      189.723    4.588      352.489    7.656        0.000    0.000       98.842    9.505       95.821    1.420      303.469    0.343        0.000    0.000        0.000    0.000
 1983.458   6  1983      190.475    4.466      353.889    6.979        0.000    0.000       98.728    8.833       95.745    1.392      303.263    0.303        0.000    0.000        0.000    0.000
 1983.542   7  1983      191.598    4.759      356.244    7.586        0.000    0.000       99.030    8.535       95.779    1.421      303.375    0.312        0.000    0.000        0.000    0.000
 1983.625   8  1983      192.671    5.202      359.415    7.978        0.000    0.000       99.121    8.264       96.293    1.565      303.864    0.170        0.000    0.000        0.000    0.000
 1983.708   9  1983      192.798    4.635      360.628    7.928        0.000    0.000       98.471    7.433       96.339    1.587      303.639    0.139        0.000    0.000        0.000    0.000
 1983.792  10  1983      193.536    4.814      362.019    8.018        0.000    0.000       98.614    7.671       96.539    1.756      303.579    0.121        0.000    0.000        0.000    0.000
 1983.875  11  1983      194.156    4.771      363.111    7.835        0.000    0.000       98.849    8.195       96.607    1.788      303.804    0.128        0.000    0.000        0.000    0.000
 1983.958  12  1983      195.132    4.566      364.966    7.700        0.000    0.000      101.006    9.205       96.824    1.700      303.898    0.154        0.000    0.000        0.000    0.000
 1984.042   1  1984      195.339    3.993      365.125    6.429        0.000    0.000      100.952    8.646       96.785    1.415      303.835    0.208        0.000    0.000        0.000    0.000
 1984.125   2  1984      196.420    4.283      365.857    7.010        0.000    0.000      101.588    8.872       96.675    1.396      303.848    0.153        0.000    0.000        0.000    0.000
 1984.208   3  1984      196.960    4.123      366.642    7.040        0.000    0.000      102.743    8.982       96.743    1.401      303.665    0.198        0.000    0.000        0.000    0.000
 1984.292   4  1984      197.732    4.095      368.140    6.851        0.000    0.000      102.330    9.264       97.000    1.506      303.755    0.189        0.000    0.000        0.000    0.000
 1984.375   5  1984      197.735    4.367      369.432    7.347       34.546    1.896      102.875   10.158       97.312    1.611      304.155    0.201        0.000    0.000        0.000    0.000
 1984.458   6  1984      198.330    4.171      370.965    7.552       34.863    1.875      103.470    9.858       97.375    1.675      304.130    0.243        0.000    0.000        0.000    0.000
 1984.542   7  1984      199.293    4.234      372.750    7.738       35.030    1.800      103.357    9.306       97.302    1.574      303.943    0.206        0.000    0.000        0.000    0.000
 1984.625   8  1984      200.008    4.209      374.413    7.809       35.009    1.621      103.230    8.463       97.290    1.456      304.013    0.275        0.000    0.000        0.000    0.000
 1984.708   9  1984      201.081    4.207      376.682    8.034       35.598    1.812      102.982    7.864       97.515    1.530      304.155    0.337        0.000    0.000        0.000    0.000
 1984.792  10  1984      201.845    4.749      378.412    9.118       36.240    2.148      103.493    8.207       97.713    1.645      304.200    0.505        0.000    0.000        0.000    0.000
 1984.875  11  1984      202.395    4.577      379.920    8.373       36.683    2.317      103.690    8.241       97.910    1.659      304.240    0.661        0.000    0.000        0.000    0.000
 1984.958  12  1984      204.024    4.402      382.648    8.045       37.300    2.221      106.007    9.429       98.393    1.671      304.290    0.425        0.000    0.000        0.000    0.000
 1985.042   1  1985      203.938    4.071      383.492    7.587       37.935    2.279      105.878    9.340       98.408    1.545      304.325    0.332        0.000    0.000        0.000    0.000
 1985.125   2  1985      204.283    3.954      384.323    6.834       37.823    2.135      105.997    9.309       98.460    1.397      304.420    0.248        0.000    0.000        0.000    0.000
 1985.208   3  1985      205.095    4.200      385.633    7.046       38.343    2.134      106.827    9.914       98.478    1.384      304.302    0.294        0.000    0.000        0.000    0.000
 1985.292   4  1985      205.723    4.176      386.295    6.536       38.848    2.103      106.650    9.470       98.387    1.272      304.495    0.476        0.000    0.000        0.000    0.000
 1985.375   5  1985      206.915    4.350      388.247    7.055       39.292    2.035      107.765    9.632       98.605    1.270      304.573    0.544        0.000    0.000        0.000    0.000
 1985.458   6  1985      206.405    3.993      388.595    6.856       39.560    2.102      106.440    8.638       98.247    1.208      304.345    0.535        0.000    0.000        0.000    0.000
 1985.542   7  1985      208.061    4.232      391.950    7.618       39.938    2.067      107.295    8.951       98.350    1.169      304.555    0.368        0.000    0.000        0.000    0.000
 1985.625   8  1985      209.426    4.697      393.445    7.682       40.486    1.980      107.630    8.558       98.457    1.247      304.295    0.335        0.000    0.000        0.000    0.000
 1985.708   9  1985      210.160    4.854      394.885    8.076        0.000    0.000      107.165    7.912       98.502    1.237      304.270    0.426        0.000    0.000        0.000    0.000
 1985.792  10  1985      211.663    4.574      395.800    7.969       40.704    1.721      107.500    8.386       98.590    1.190      304.747    0.331        0.000    0.000        0.000    0.000
 1985.875  11  1985      211.693    4.704      397.138    8.206       40.923    1.963      107.855    8.931       98.725    1.274      304.422    0.333        0.000    0.000        0.000    0.000
 1985.958  12  1985      212.868    4.439      399.670    8.201       42.100    2.245      109.378    9.737       99.040    1.245      304.573    0.324        0.000    0.000        0.000    0.000
 1986.042   1  1986      213.285    3.995      400.047    7.315       42.197    1.917      108.818    8.835       99.068    1.089      304.628    0.350        0.000    0.000        0.000    0.000
 1986.125   2  1986      214.416    4.108      401.668    7.307       42.545    1.750      109.488    9.006       99.470    1.314      304.913    0.563        0.000    0.000        0.000    0.000
 1986.208   3  1986      215.039    4.285      402.703    7.445       42.865    1.622      109.385    9.868       99.603    1.440      305.013    0.609        0.000    0.000        0.000    0.000
 1986.292   4  1986      216.605    4.634      405.525    7.070       43.530    1.383      111.425   10.054      100.177    1.545      305.335    0.588        0.000    0.000        0.000    0.000
 1986.375   5  1986      217.458    4.903      406.133    7.175       43.903    1.626      110.543    9.572       99.982    1.444      304.778    0.323     1659.207   39.162        0.000    0.000
 1986.458   6  1986      219.094    4.925      410.075    6.495       44.562    2.023      111.337    9.791      100.247    1.504      305.527    0.232     1652.992   30.369        0.000    0.000
 1986.542   7  1986      219.371    5.112      410.970    7.401       44.670    1.689      110.982    9.029      100.440    1.604      305.535    0.304     1650.822   23.930        0.000    0.000
 1986.625   8  1986      220.151    5.116      412.585    7.448       45.120    1.584      109.395    7.821      100.238    1.671      305.560    0.488     1648.518   20.166        0.000    0.000
 1986.708   9  1986      222.471    5.741      417.228    8.765       45.792    1.583      110.315    7.821      100.562    1.566      305.845    0.377     1668.842   33.912        0.000    0.000
 1986.792  10  1986      222.758    5.724      417.922    8.959       46.589    1.277      109.963    8.288      100.665    1.576      305.675    0.522     1673.331   33.769        0.000    0.000
 1986.875  11  1986      223.012    6.088      418.510    9.278       46.666    1.100      109.568    8.868      101.140    1.782      305.622    0.361     1671.706   27.349        0.000    0.000
 1986.958  12  1986      224.425    6.005      420.528    9.893       46.619    1.682      111.100    9.963      101.222    1.822      305.588    0.358     1674.934   35.095        0.000    0.000
 1987.042   1  1987      225.669    5.644      421.538    9.379       46.734    2.440      110.378    9.983      100.966    1.453      305.607    0.339     1686.927   47.415        0.000    0.000
 1987.125   2  1987      226.672    5.591      421.309    8.445       46.981    2.157      110.470    9.823      101.054    1.356      305.391    0.314     1681.624   43.799        0.000    0.000
 1987.208   3  1987      226.860    5.365      421.868    8.032       48.484    2.098      111.129    9.401      100.963    1.402      305.497    0.210     1681.167   38.952        0.000    0.000
 1987.292   4  1987      227.150    5.470      422.809    9.017       50.150    2.185      113.051    9.871      100.975    1.545      305.557    0.342     1681.894   39.409        0.000    0.000
 1987.375   5  1987      228.551    5.590      424.574    8.930       49.857    2.644      113.857   10.179      101.765    1.093      305.666    0.293     1678.928   33.530        0.000    0.000
 1987.458   6  1987      230.183    6.229      427.605    7.869       51.269    2.621      114.934   10.407      101.312    1.315      305.739    0.149     1670.304   28.732        0.000    0.000
 1987.542   7  1987      231.133    6.052      429.374    7.800       51.894    2.700      114.981    9.814      101.227    1.286      305.653    0.154     1662.717   22.142        0.000    0.000
 1987.625   8  1987      232.404    5.873      430.716    7.454       52.214    2.859      114.404    8.808      101.269    1.217      305.696    0.160     1663.595   22.287        0.000    0.000
 1987.708   9  1987      233.688    6.278      432.689    8.648       52.514    2.594      114.061    8.505      101.565    1.328      306.009    0.319     1676.852   31.650        0.000    0.000
 1987.792  10  1987      234.704    6.673      435.329    9.511       52.776    2.742      114.661    8.863      101.335    1.423      306.185    0.416     1692.248   39.812        0.000    0.000
 1987.875  11  1987      235.068    5.878      436.835    9.114       52.541    1.718      115.036    9.125      101.580    1.343      306.237    0.399     1685.771   36.011        0.000    0.000
 1987.958  12  1987      236.048    5.714      438.339    8.797       53.550    1.862      116.277    9.583      101.765    1.282      306.390    0.360     1687.050   38.054        0.000    0.000
 1988.042   1  1988      237.306    5.483      440.656    9.167       54.771    2.165      117.089   10.046      101.940    1.274      306.504    0.263     1691.888   44.916        0.000    0.000
 1988.125   2  1988      237.195    5.579      441.599    8.909       54.996    2.464      118.004   10.287      102.005    1.312      306.066    0.516     1692.347   42.908        0.000    0.000
 1988.208   3  1988      237.779    4.700      442.680    7.926       55.830    2.470      118.287   10.382      102.647    1.167      306.334    0.264     1689.533   45.644        0.000    0.000
 1988.292   4  1988      238.947    4.490      444.764    7.614       57.119    2.767      119.506   10.144      102.690    1.363      306.566    0.275     1687.974   37.345        0.000    0.000
 1988.375   5  1988      239.702    5.100      447.486    7.711       57.410    3.194      120.324   11.087      102.566    1.673      306.776    0.217     1683.579   35.065        0.000    0.000
 1988.458   6  1988      240.539    5.178      448.117    7.818       57.466    3.403      120.471   10.710      102.664    1.605      306.880    0.249     1678.767   29.807        0.000    0.000
 1988.542   7  1988      241.415    5.351      450.100    7.401       58.074    3.226      120.599   10.263      102.835    1.555      306.860    0.172     1675.313   21.832        0.000    0.000
 1988.625   8  1988      242.763    5.451      453.079    6.880       58.639    3.006      119.763    9.054      103.061    1.311      306.897    0.186     1681.792   22.299        0.000    0.000
 1988.708   9  1988      243.833    5.431      455.295    7.260       58.850    2.521      119.300    8.447      103.036    1.324      307.159    0.295     1692.874   28.738        0.000    0.000
 1988.792  10  1988      242.962    4.660      456.641    7.547       59.252    2.370      118.391    7.930      102.771    1.215      307.166    0.244     1696.135   30.458        0.000    0.000
 1988.875  11  1988      243.692    5.205      458.833    8.887       60.526    2.362      120.580    9.383      103.005    1.403      307.112    0.287     1715.856   41.420        0.000    0.000
 1988.958  12  1988      244.561    5.410      460.431    9.069       61.292    2.385      121.670   10.147      103.090    1.434      307.265    0.213     1708.672   38.149        0.000    0.000
 1989.042   1  1989      245.207    5.005      461.177    8.324       61.460    1.947      121.134    9.237      103.065    1.216      307.269    0.238     1710.341   39.617        0.000    0.000
 1989.125   2  1989      246.232    4.564      463.130    6.896       61.985    2.107      121.827    9.418      102.989    1.052      307.065    0.354     1709.172   39.644        0.000    0.000
 1989.208   3  1989      246.726    4.195      463.719    6.125       63.235    2.070      122.339    9.332      103.425    1.323      307.070    0.419     1709.175   38.211        0.000    0.000
 1989.292   4  1989      247.710    4.606      465.706    6.883       63.350    2.456      123.275   10.460      103.773    1.508      307.323    0.424     1716.080   42.889        0.000    0.000
 1989.375   5  1989      248.396    4.412      467.099    6.619       63.880    2.478      123.825   10.341      103.901    1.522      307.302    0.411     1709.128   36.474        0.000    0.000
 1989.458   6  1989      248.762    4.704      468.024    7.241       64.363    2.695      123.573   10.481      103.810    1.683      307.451    0.542     1709.612   32.548        0.000    0.000
 1989.542   7  1989      250.642    4.931      470.792    6.892       65.064    2.833      125.180    9.901      104.975    2.224      307.976    0.490     1726.515   34.051        0.000    0.000
 1989.625   8  1989      250.855    4.425      472.472    6.926       65.618    2.825      124.236    8.814      104.752    2.113      307.961    0.247     1727.602   33.539        0.000    0.000
 1989.708   9  1989      251.582    4.241      474.175    7.058       65.760    2.559      123.469    8.013      104.617    2.096      308.063    0.264     1720.688   27.693        0.000    0.000
 1989.792  10  1989      251.962    3.921      474.624    6.485       66.244    2.342      123.568    8.130      104.544    2.009      307.906    0.125     1707.563   20.958        0.000    0.000
 1989.875  11  1989      252.953    4.303      476.669    6.810       66.873    2.631      125.187    9.604      104.745    2.023      308.176    0.164     1703.876   20.241        0.000    0.000
 1989.958  12  1989      253.325    4.334      477.719    6.432       66.973    2.914      125.729   10.212      104.755    1.523      308.181    0.299     1709.676   28.969        0.000    0.000
 1990.042   1  1990      253.689    4.227      479.006    6.710       67.406    2.882      125.883   10.666      104.863    1.463      308.081    0.196     1702.358   31.064        0.000    0.000
 1990.125   2  1990      254.001    3.996      479.830    6.023       68.015    2.730      126.209   10.838      104.914    1.346      308.108    0.229     1699.506   31.416        0.000    0.000
 1990.208   3  1990      255.115    4.091      480.833    5.483       68.551    2.508      126.231   10.956      105.175    1.402      308.329    0.320     1715.545   42.090        0.000    0.000
 1990.292   4  1990      256.549    4.408      482.274    5.354       69.288    2.430      127.442   11.249      105.212    1.571      308.643    0.512     1716.375   38.877        0.000    0.000
 1990.375   5  1990      256.945    4.417      484.380    6.062       70.040    2.612      129.265   11.820      105.061    1.599      308.956    0.513     1712.334   33.209        0.000    0.000
 1990.458   6  1990      257.678    3.653      485.331    5.923       71.532    2.081      129.963   11.633      105.075    1.297      308.976    0.411     1712.132   26.776        0.000    0.000
 1990.542   7  1990      257.678    3.211      486.347    5.687       72.315    2.163      128.357   10.027      104.901    1.236      309.006    0.283     1710.220   21.924        0.000    0.000
 1990.625   8  1990      258.304    3.466      487.783    5.807       72.223    2.295      128.511    9.557      104.874    1.300      308.914    0.331     1715.745   22.228        0.000    0.000
 1990.708   9  1990      259.406    3.565      489.602    5.915       72.318    2.143      128.467    9.173      104.959    1.299      309.229    0.223     1730.356   30.420        0.000    0.000
 1990.792  10  1990      259.300    3.088      489.934    5.189       72.376    1.905      127.626    8.630      104.709    1.155      309.241    0.226     1737.707   36.047        0.000    0.000
 1990.875  11  1990      260.172    3.440      491.659    5.632       73.382    2.267      130.137   10.531      104.757    1.073      309.494    0.263     1740.614   41.347        0.000    0.000
 1990.958  12  1990      260.162    3.283      491.815    5.947       73.541    2.236      131.215   11.495      105.233    1.384      309.520    0.304     1738.160   41.507        0.000    0.000
 1991.042   1  1991      259.515    3.583      492.395    6.278       73.457    2.325      129.163   11.023      104.912    1.028      309.408    0.307     1731.760   43.372        0.000    0.000
 1991.125   2  1991      259.485    4.212      492.855    6.704       74.014    2.545      127.544   11.292      104.616    1.343      309.721    0.625     1735.748   45.364        0.000    0.000
 1991.208   3  1991      259.435    3.865      492.794    5.808       74.408    2.598      127.148   10.814      104.476    1.182      309.591    0.554     1728.081   43.512        0.000    0.000
 1991.292   4  1991      259.788    3.646      494.174    5.544       75.128    2.621      128.833   11.240      104.526    1.267      309.598    0.583     1719.521   39.952        0.000    0.000
 1991.375   5  1991      260.129    3.249      495.361    4.877       75.961    2.586      130.006   11.317      104.446    1.161      309.526    0.393     1715.188   32.640        0.000    0.000
 1991.458   6  1991      261.215    3.870      496.090    5.515       76.104    2.187      129.395   10.951      103.481    0.763      309.357    0.280     1718.877   28.586        0.000    0.000
 1991.542   7  1991      261.565    3.640      497.430    5.170       76.154    2.464      129.315   10.333      103.801    0.716      309.458    0.196     1724.595   30.298        0.000    0.000
 1991.625   8  1991      260.614    3.032      497.105    4.592       76.736    2.688      129.545   10.239      104.089    1.193      309.292    0.213     1733.812   32.492        0.000    0.000
 1991.708   9  1991      260.626    2.771      498.203    4.454       77.396    2.721      129.372    9.675      103.855    1.237      309.355    0.196     1741.019   34.752        0.000    0.000
 1991.792  10  1991      260.811    2.453      499.060    4.021       78.187    2.956      128.975    9.293      103.830    1.141      309.783    0.278     1744.066   35.953        0.000    0.000
 1991.875  11  1991      261.129    2.486      499.307    3.939       78.365    2.975      129.398    9.436      103.895    1.137      309.600    0.338     1750.968   40.111        0.000    0.000
 1991.958  12  1991      262.062    2.560      501.395    4.717       78.930    2.974      131.225   10.996      104.180    1.172      309.957    0.576     1748.155   35.863        0.000    0.000
 1992.042   1  1992      261.809    2.593      501.753    5.647       78.577    3.174      129.605   10.470      103.990    1.293      309.865    0.424     1732.730   35.650        0.000    0.000
 1992.125   2  1992      262.693    2.250      503.185    5.275       78.931    2.540      130.133    9.501      103.868    1.042      309.810    0.373     1722.662   27.266        0.000    0.000
 1992.208   3  1992      262.932    2.162      503.402    4.995       79.831    1.947      130.445    9.736      103.585    0.723      309.862    0.360     1721.739   27.028        0.000    0.000
 1992.292   4  1992      263.342    2.429      504.307    5.192       80.268    2.008      131.155   10.822      103.567    0.686      309.920    0.370     1732.345   37.577        0.000    0.000
 1992.375   5  1992      263.688    2.582      505.083    4.927       80.438    2.253      131.631    9.787      104.011    1.029      309.837    0.443     1737.969   34.413        0.000    0.000
 1992.458   6  1992      264.179    2.540      506.350    5.290       80.393    2.327      131.854    9.405      104.081    1.028      309.943    0.310     1735.837   27.593        0.000    0.000
 1992.542   7  1992      264.542    2.484      507.487    5.290       80.620    1.868      131.091    8.561      103.965    0.869      309.953    0.202     1730.636   22.787        0.000    0.000
 1992.625   8  1992      265.743    1.787      509.053    4.634       80.858    1.684      130.620    8.222      104.002    0.704      310.073    0.113     1735.346   24.683        0.000    0.000
 1992.708   9  1992      265.003    1.969      509.445    4.642       80.968    1.871      129.985    7.668      103.892    0.602      310.158    0.159     1739.084   27.641        0.000    0.000
 1992.792  10  1992      265.342    2.100      509.872    5.122       81.325    1.850      129.975    8.280      103.888    0.656      310.168    0.241     1743.634   30.865        0.000    0.000
 1992.875  11  1992      264.851    2.425      510.478    5.047       81.060    2.127      128.905    7.639      103.497    0.671      310.095    0.263     1737.783   30.494        0.000    0.000
